BODY,JD_TDB,X_KM,Y_KM,Z_KM,VX_KM_S,VY_KM_S,VZ_KM_S,LT_S,RG_KM,RR_KM_S
EARTH_BARYCENTER,2461041.500000,-2.652924877e+07,1.439509019e+08,1.119263034e+04,-2.978870911e+01,-5.390848902e+00,2.432472011e-04,4.882547031e+02,1.463750776e+08,9.738348894e-02
EARTH_BARYCENTER,2461071.500000,-9.662733826e+07,1.108289914e+08,1.293129101e+04,-2.303938962e+01,-1.955491035e+01,1.055193351e-03,4.904629634e+02,1.470370974e+08,4.011498989e-01
EARTH_BARYCENTER,2461101.500000,-1.406060388e+08,4.732828305e+07,1.634992120e+04,-1.014731284e+01,-2.828388118e+01,1.509201895e-03,4.948682179e+02,1.483577594e+08,5.941445464e-01
EARTH_BARYCENTER,2461131.500000,-1.471273021e+08,-2.911378739e+07,2.034283845e+04,5.167293790e+00,-2.935977534e+01,1.490976867e-03,5.002800488e+02,1.499801855e+08,6.302452055e-01
EARTH_BARYCENTER,2461161.500000,-1.153076952e+08,-9.824913663e+07,2.368916408e+04,1.878716152e+01,-2.283490400e+01,1.025268719e-03,5.053111601e+02,1.514884747e+08,5.096449334e-01
EARTH_BARYCENTER,2461191.500000,-5.412255314e+07,-1.425924688e+08,2.538795187e+04,2.737800761e+01,-1.068004592e+01,2.493181929e-04,5.087466344e+02,1.525184040e+08,2.696490913e-01
EARTH_BARYCENTER,2461221.500000,2.058205229e+07,-1.514419428e+08,2.488553221e+04,2.903534287e+01,3.976836845e+00,-6.374691000e-04,5.097999164e+02,1.528341700e+08,-3.044455800e-02
EARTH_BARYCENTER,2461251.500000,9.011194268e+07,-1.228645544e+08,2.217237132e+04,2.347127637e+01,1.761443124e+01,-1.421909305e-03,5.082433426e+02,1.523675209e+08,-3.225553948e-01
EARTH_BARYCENTER,2461281.500000,1.370815985e+08,-6.386042682e+07,1.776718556e+04,1.196396058e+01,2.696087247e+01,-1.916111915e-03,5.044380209e+02,1.512267142e+08,-5.402088942e-01
EARTH_BARYCENTER,2461311.500000,1.492703465e+08,1.105333088e+07,1.259675121e+04,-2.821846264e+00,2.958844090e+01,-2.000557969e-03,4.992755087e+02,1.496790320e+08,-6.291273137e-01
EARTH_BARYCENTER,2461341.500000,1.227782345e+08,8.282455245e+07,7.766899996e+03,-1.722161901e+01,2.452712318e+01,-1.654616129e-03,4.940173373e+02,1.481026718e+08,-5.603679422e-01
EARTH_BARYCENTER,2461371.500000,6.372564421e+07,1.323622518e+08,4.400797605e+03,-2.733177299e+01,1.277808094e+01,-8.806191323e-04,4.900182973e+02,1.469037898e+08,-3.430767723e-01
EARTH_BARYCENTER,2461401.500000,-1.255363679e+07,1.458676923e+08,3.390220188e+03,-3.015673000e+01,-2.626665760e+00,1.114496955e-04,4.883608182e+02,1.464068901e+08,-3.120780393e-02
MARS_BARYCENTER,2461041.500000,5.049113049e+07,-2.083203225e+08,-5.577837780e+06,2.445957745e+01,7.861473730e+00,-4.349787568e-01,7.152428096e+02,2.144244000e+08,-1.866796807e+00
MARS_BARYCENTER,2461071.500000,1.105445701e+08,-1.786655247e+08,-6.428844714e+06,2.148630609e+01,1.490742048e+01,-2.144248093e-01,7.011419030e+02,2.101970545e+08,-1.364762833e+00
MARS_BARYCENTER,2461101.500000,1.599328869e+08,-1.320133954e+08,-6.662158569e+06,1.627820370e+01,2.082845254e+01,3.735561030e-02,6.920988712e+02,2.074860218e+08,-7.058957460e-01
MARS_BARYCENTER,2461131.500000,1.934189958e+08,-7.238098621e+07,-6.233541980e+06,9.332750929e+00,2.480318223e+01,2.909506553e-01,6.891854954e+02,2.066126137e+08,3.890792552e-02
MARS_BARYCENTER,2461161.500000,2.075418670e+08,-5.590830375e+06,-5.180146327e+06,1.498644066e+00,2.629673201e+01,5.143392569e-01,6.927518192e+02,2.076817707e+08,7.768927732e-01
MARS_BARYCENTER,2461191.500000,2.012780430e+08,6.170432790e+07,-3.616295438e+06,-6.235535753e+00,2.521601060e+01,6.813288278e-01,7.023354390e+02,2.105548676e+08,1.417191965e+00
MARS_BARYCENTER,2461221.500000,1.760645894e+08,1.231837660e+08,-1.709690915e+06,-1.299874598e+01,2.189286503e+01,7.775145574e-01,7.167818422e+02,2.148857903e+08,1.893551819e+00
MARS_BARYCENTER,2461251.500000,1.352449001e+08,1.737739051e+08,3.513558214e+05,-1.820777484e+01,1.692486108e+01,8.011182866e-01,7.345129587e+02,2.202014453e+08,2.174699588e+00
MARS_BARYCENTER,2461281.500000,8.325370691e+07,2.100827563e+08,2.387012547e+06,-2.159866768e+01,1.098274342e+01,7.597238804e-01,7.538226940e+02,2.259903583e+08,2.260845710e+00
MARS_BARYCENTER,2461311.500000,2.486273799e+07,2.303944514e+08,4.244308633e+06,-2.315978145e+01,4.672830013e+00,6.657518696e-01,7.731046715e+02,2.317709498e+08,2.172852924e+00
MARS_BARYCENTER,2461341.500000,-3.534775972e+07,2.344090537e+08,5.804640996e+06,-2.303473929e+01,-1.522985486e+00,5.328225970e-01,7.909814219e+02,2.371302647e+08,1.941201759e+00
MARS_BARYCENTER,2461371.500000,-9.327944655e+07,2.229068758e+08,6.983861390e+06,-2.144049182e+01,-7.250543110e+00,3.736780105e-01,8.063514769e+02,2.417380913e+08,1.598304226e+00
MARS_BARYCENTER,2461401.500000,-1.454316235e+08,1.974452169e+08,7.728760959e+06,-1.861493549e+01,-1.225948368e+01,1.993994812e-01,8.183864695e+02,2.453460913e+08,1.174524466e+00
